id,ownerId,title,slug,sub-category,hero_image,description,shortDesc,duration,price,level,utensils,ingredients,steps
1,11,Overnight Oats,overnight -oats,15-min-breakfast|american,overnight-oats-with-walnuts-apples-dried-cherries.jpeg,"A nutritious breakfast sets you up for a good day. But first thing in the morning isn’t exactly our peak motivation moment in the kitchen. Enter overnight oats—the no-hassle, delicious answer to all of your breaky needs. Prep and combine ingredients the night before—let the fridge do the work while you sleep! Roll out of bed and into the kitchen where a creamy, flavorful, feel-good breakfast awaits! (2p serves 4; 4p serves 8)","A nutritious breakfast sets you up for a good day. But first thing in the morning isn’t exactly our peak motivation moment in the kitchen. Enter overnight oats—the no-hassle, delicious answer to all of your breaky needs. Prep and combine ingredients the night before—let the fridge do the work while you sleep! Roll out of bed and into the kitchen where a creamy, flavorful, feel-good breakfast awaits! (2p serves 4; 4p serves 8)",15,15,Beginner,,"½ oz freeze-dried strawberries,
2 (11 oz) oat milk,,
1 Granny Smith apple,
¼ oz flax seeds,
2 (¼ oz) oz chia seeds,
½ oz unsweetened shredded coconut,
2 (3 oz) oats,
1 oz dried cherries,
2 oz walnuts","1\. Chop walnuts and dried cherries. Combine dry ingredients  
2\. Combine dry ingredients. In a medium bowl, combine oats, chopped walnuts and cherries, coconut, and chia and flax seeds.  
3\. Coarsely grate apple down to the core; discard core (no need to peel). Add grated apple to bowl with dry ingredients.  
4\. Add all of the oat milk and freeze-dried strawberries to bowl with dry ingredients and apples; stir to combine.  
5\. Divide oat mixture evenly among 4 small jars (about 6 oz each) with lids, or other sealable containers  
6\. Screw on jar lids. Let oats sit overnight in fridge and enjoy the next morning! |"
2,12,Egg & Scallion Crepe (Ji Dan Bing),egg-scallion-crepe,15-min-breakfast|chinese,Egg-scallion-crepe-10-300x300.jpg,A simple dish with great taste & texture. Check out this egg & scallion crepe recipe to learn the perfect batter ratio & cooking method.,A simple dish with great taste & texture. Check out this egg & scallion crepe recipe to learn the perfect batter ratio & cooking method.,15,15,Intermediate,,"100 g all-purpose flour, ¾ cup,
240 ml water, 1 cup,
3 medium eggs, see note 1,
¼ teaspoon salt,
⅛ teaspoon ground Sichuan pepper, or white pepper/black pepper,
2 stalks scallions (spring onion), finely chopped,
Cooking oil (skip if you use a non-stick pan)","1\. Mix flour and water first until well combined (see note 2).  
2\. Crack eggs into the mixture. Add salt, white pepper and scallions. Whisk until smooth.  
3\. Heat up a non-stick pan over medium-high heat. Pour in some batter and swirl to evenly cover the surface. To make an 18 cm/7 inch crepe, I use about 4 tablespoon of batter for each (If using a pan without non-stick coating: coat it with a thin layer of oil each time before you pour in the batter).  
4\. The first side is done when the crepe moves freely in the pan. Flip over to cook the other side.
5\. Transfer out when both sides are cooked (It takes me around 80 seconds). Repeat to finish the rest of the batter.  
6\.You may serve these crepes on their own, or with a sauce, e.g. Chinese chili oil, pickled chili garlic sauce, black bean sauce, sweet soy sauce, etc."
3,14,Chineses Steamed Eggs,chineses-steamed-eggs,15-min-breakfast|chinese,Chinese-steamed-eggs-landscape-1-1-360x360.jpg,"Smooth, slippery and heavenly soft, Chinese steamed eggs requires minimum ingredients yet delivers a delicate look and flavour. Learn how to make it flawlessly.","Smooth, slippery and heavenly soft, Chinese steamed eggs requires minimum ingredients yet delivers a delicate look and flavour. Learn how to make it flawlessly.",15,15,Intermediate,,"2 eggs, beaten,
Warm water double volume of the beaten eggs (see note 1 & 2),
1 pinch salt,
1 teaspoon chive finely chopped (optional),
2 teaspoon light soy sauce,
2 drop sesame oil,
Extra garnish (optional),
Prawns, peeled and deveined,
Asparagus & carrot","1\. Pour warm water into the beaten eggs. Add salt then stir well.  
2\. Through a sieve, pour the mixture into 2 small serving bowls. Sprinkle chive over if using.  
3\. Cover the bowls with cling film. Pierce to allow the steam to escape.  
4\. Steam for 10-12 minutes over a gentle heat (place the bowls in when the water starts to boil).  
5\. Season with light soy sauce and sesame oil (if you wish, cut through the curd several times to let the sauce penetrate). Serve warm.  
6\. If using extra garnish: Steam the egg as usual for 7 minutes, then place in prawns and vegetables. Steam for a further 3 minutes."
4,14,Indian Omelet,indian-omelet,15-min-breakfast|indian,Indian Omelete.jpeg,"I thought that this was the only way to make an omelet until I had the French and American kinds. It's funny; we like ours thin and lightly browned, whereas the classic American version is fluffy and pale yellow. This almost reminds me of a Spanish frittata; you can eat a quarter of it with a small salad and it makes a satisfying light lunch. My mum usually makes this for lunch when she's got a heavy dinner planned. It's one of my dad's favorites! This is also apparently one of those things that you can get at the train stations in India: jump onto the platform, grab a hot ""railway omelet"" and speed walk to work where you can nosh away in peace. Bliss!","I thought that this was the only way to make an omelet until I had the French and American kinds. It's funny; we like ours thin and lightly browned, whereas the classic American version is fluffy and pale yellow. This almost reminds me of a Spanish frittata; you can eat a quarter of it with a small salad and it makes a satisfying light lunch. My mum usually makes this for lunch when she's got a heavy dinner planned. It's one of my dad's favorites! This is also apparently one of those things that you can get at the train stations in India: jump onto the platform, grab a hot ""railway omelet"" and speed walk to work where you can nosh away in peace. Bliss!",15,15,Easy,,"6 eggs,
3/4 cup finely minced red onion,
1 serrano chile, minced, seeds removed if you don't want it spicy,
2 tablespoons minced fresh cilantro leaves,
3/4 teaspoon turmeric,
3/4 teaspoon paprika,
Kosher salt and freshly ground black pepper,
2 tablespoon canola oil","1\. Grab a bowl. Crack the eggs into the bowl and beat until lathery, about 1 minute. Whisk in the onion, chile, cilantro, turmeric, and paprika until well combined. Sprinkle with a big pinch of salt and a few grinds of black pepper.
2\. Grab a 12-inch nonstick skillet. Add the oil and warm over medium-high heat until mildly shimmering but not smoking. Have a spatula/spoonula at the ready. Pour egg mixture into the pan. Grab the spatula/spoonula and, in small circular motions, distribute the onions, chile, and cilantro evenly around the pan. This also helps move some of the uncooked egg down to the surface of the hot pan. Cover and cook for 2 1/2 minutes.  
3\. Grab a plate that's as big as your pan. Pull off the lid and look at your omelet. It might still look a little runny, but it shouldn't be super runny. If it is, then cover and cook 1 more minute.  
4\. Slide the omelet, cooked side down, onto your plate. Then, holding the plate from underneath, put your pan over your plate, and flip so that the uncooked side lands on the pan. Cook, uncovered, another minute.  
Slide onto serving plate, cut into 4, and serve."
5,15,Tangerine Crunch Chopped Salad & Chicken,tangerine-crunch-chopped-salad-&-chicken,15-min-lunch|american,TangerineCrunchSaladwithChicken.jpg,"These yummy extras are the perfect way to keep your fridge stocked morning, noon, and night. Start your day with our protein-packed burritos, add on a loaf of scrumptious bread, or try one of our many other options. And how could we forget dessert? Indulge with our delectable, perfectly portioned treats! There's always something new, so let your cravings lead the way.","These yummy extras are the perfect way to keep your fridge stocked morning, noon, and night. Start your day with our protein-packed burritos, add on a loaf of scrumptious bread, or try one of our many other options. And how could we forget dessert? Indulge with our delectable, perfectly portioned treats! There's always something new, so let your cravings lead the way.",15,15,Easy,,"12 oz. Boneless Skinless Chicken Breasts,
1 Tangerine Crunch Chopped Salad Kit","1\. Pat chicken dry. We recommend seasoning both sides with 1/4 tsp. salt and a pinch of pepper.  
2\. Salad Instructions - Refrigerate until use. Remove all salad ingredients from packaging and gently toss with dressing to combine.  
Once cool enough to handle slice chicken into 1/2 slices (if desired )and top salad with chicken. Bon appétit!  
3\. Use a large non-stick pan with 2 tsp. olive oil over medium heat and cook to a minimum internal temperature of 165 degrees 5-7 minutes per side. 
4\. For grilling follow same instructions, heating grill to medium heat and spraying with cooking spray."
6,16,BBQ Pulled Pork Sliders with Creamy Corn Slaw,bBQ-pulled-pork,15-min-lunch|american,BbqPulledPorkSlidersWithCreamyCornSlaw.jpg,Fast & Fresh meals combine Home Chef's freshest ingredients with speedy preparation. Assemble the meal and heat in the microwave for a delicious meal in minutes! Fast & Fresh saves time and minimizes cleanup without sacrificing flavor. Heat in the microwave or oven! Enjoy!,Fast & Fresh meals combine Home Chef's freshest ingredients with speedy preparation. Assemble the meal and heat in the microwave for a delicious meal in minutes! Fast & Fresh saves time and minimizes cleanup without sacrificing flavor. Heat in the microwave or oven! Enjoy!,15,15,Easy,,"½ oz. Grated Parmesan,
1½ oz. Dill Pickle Slices,
5 oz. Corn Kernels,
4 Brioche Slider Buns,
3 oz. BBQ Sauce,
4 oz. Slaw Mix,
8 oz. Fully Cooked Pulled Pork,
2 fl. oz. Creamy Cilantro Sauce","1\. Pat chicken dry. We recommend seasoning both sides with 1/4 tsp. salt and a pinch of pepper.  
2\. Salad Instructions - Refrigerate until use. Remove all salad ingredients from packaging and gently toss with dressing to combine.  
Once cool enough to handle, slice chicken into 1/2 slices, if desired, and top salad with chicken. Bon appétit!  
3\. Use a large non-stick pan with 2 tsp. olive oil over medium heat and cook to a minimum internal temperature of 165 degrees, 5-7 minutes per side.  
4\. For grilling, follow same instructions, heating grill to medium heat and spraying with cooking spray.  
1\. Microwave Instructions: Thoroughly rinse any fresh produce and pat dry. Place pulled pork in provided tray and cover evenly with BBQ sauce. Cover with a damp paper towel and microwave until heated through, 3-4 minutes. Carefully remove tray from microwave. Place buns on a microwave-safe plate and microwave, 30 seconds. If corn is frozen, microwave until thawed, 30-60 seconds. Combine corn, slaw mix, cheese, and cilantro cream sauce in a mixing bowl. To serve, place BBQ pork mixture on bottom bun and top with pickle and top bun. Bon appétit!  
2\. Oven Instructions: 1. Turn oven on to 375 degrees. Let preheat, at least 10 minutes. Thoroughly rinse any fresh produce and pat dry. Place pulled pork in provided tray and cover evenly with BBQ sauce. Cover tray with foil and place on baking sheet. Bake covered in hot oven until heated through, 10-12 minutes. Carefully remove tray from oven. Place buns on a microwave-safe plate and microwave, 30 seconds. If corn is frozen, microwave until thawed, 30-60 seconds. Combine corn, slaw mix, cheese, and cilantro cream sauce in a mixing bowl. To serve, place BBQ pork mixture on bottom bun and top with pickle and top bun. Bon appétit! | |"
7,18,Asian-Style Chopped Salad & Chicken,asian-style-chopped-salad,15-min-lunch|chinese,Asian-Style-Salad-Bundle.jpg,"These yummy extras are the perfect way to keep your fridge stocked morning, noon, and night. Start your day with our protein-packed burritos, add on a loaf of scrumptious bread, or try one of our many other options. And how could we forget dessert? Indulge with our delectable, perfectly portioned treats! There's always something new, so let your cravings lead the way.","These yummy extras are the perfect way to keep your fridge stocked morning, noon, and night. Start your day with our protein-packed burritos, add on a loaf of scrumptious bread, or try one of our many other options. And how could we forget dessert? Indulge with our delectable, perfectly portioned treats! There's always something new, so let your cravings lead the way.",15,15,Easy,,"13 oz. Asian Style Chopped Salad Kit,
12 oz. Boneless Skinless Chicken Breasts","1\. Pat chicken dry. We recommend seasoning both sides with 1/4 tsp. salt and a pinch of pepper.  
2\. Refrigerate until use. Remove all salad ingredients from packaging and gently toss with dressing to combine. Once cool enough to handle, slice chicken into 1/2 slices, if desired, and top salad with chicken. Bon appétit!  
Use a large non-stick pan with 2 tsp. olive oil over medium heat and cook to a minimum internal temperature of 165 degrees, 5-7 minutes per side.  
3\. For grilling, follow same instructions, heating grill to medium heat and spraying with cooking spray. |"
8,19,Pork Egg Roll in a Bowl with Peanuts,pork-egg-roll,15-min-lunch|chinese,PorkEggRollinaBowl.jpg,"Let's hear it for the best part of any Chinese takeout, the egg roll. We've taken that crunchy handheld wonder, stuffed with vegetables and pork, and deconstructed the whole thing into a bowl. Multiple sauces, from citrusy ponzu to a sweet and sour and mustard combo sauce, pack in the flavor to every bite. You'll be filled with so much delight from this meal, you'll be eagerly awaiting to see what else we'll unroll. Get it?","Let's hear it for the best part of any Chinese takeout, the egg roll. We've taken that crunchy handheld wonder, stuffed with vegetables and pork, and deconstructed the whole thing into a bowl. Multiple sauces, from citrusy ponzu to a sweet and sour and mustard combo sauce, pack in the flavor to every bite. You'll be filled with so much delight from this meal, you'll be eagerly awaiting to see what else we'll unroll. Get it?",15,15,Easy,,"2 Green Onions,
1 oz. Ponzu with Lime,
2 oz. Hawaiian Sweet and Sour Sauce,
½ oz. Dijon Mustard,
10 oz. Ground Pork,
8 oz. Slaw Mix,
1 oz. Wonton Strips,
½ oz. Roasted Peanuts,
2 tsp. Sriracha","1\. Trim and thinly slice green onions on an angle, keeping white and green portions separate.  
2\. In a mixing bowl, combine sweet and sour sauce and mustard. Set aside.  
3\. Place a large non-stick pan over medium-high heat and add 1 tsp. olive oil.  
Add ground pork, white portions of green onions, 1/4 tsp. salt, and a pinch of pepper to hot pan. Stir occasionally, breaking up meat, until no pink remains and pork reaches a minimum internal temperature of 160 degrees, 4-6 minutes.  
Stir in half the ponzu (reserve remaining for egg roll mixture) until combined, 1-2 minutes.  
4\. Add 1/2 tsp. olive oil, slaw mix, 1/4 tsp. salt, and a pinch of pepper to hot pan. Stir occasionally until tender but still crisp, 1-2 minutes. Transfer pork to a plate. Keep pan over medium-high heat.  
5\. Return pork to hot pan and stir to combine. Remove from burner. Stir in sweet and sour-mustard sauce and remaining ponzu (to taste). Plate dish as pictured on front of card, garnishing with wonton strips, peanuts, Sriracha (to taste), and green portions of green onions. Bon appétit!"
9,24,Chicken Gyros with Grape Tomatoes,chicken-gyros,15-min-lunch|greek,ChickenGyros.jpg,"The flavors of gyro can be transferred to chicken with such ease, and the naan flatbread that wraps around them warm and soft is the perfect carrier. And this Greek stunner comes together in less than 15? Opa!","The flavors of gyro can be transferred to chicken with such ease, and the naan flatbread that wraps around them warm and soft is the perfect carrier. And this Greek stunner comes together in less than 15? Opa!",15,15,Easy,,"12 oz. Diced Boneless Skinless Chicken Breasts,
4 Mini Naan Flatbreads,
4 oz. Grape Tomatoes,
½ oz. Spring Mix,
1 tsp. Chimichurri Seasoning,
0.14 oz. Lemon Juice,
1 Shallot,
2 oz. Tzatziki Dip","1. Pat diced chicken dry, and season all over with a pinch of salt. Place a medium non-stick pan over medium-high heat and add 2 tsp. olive oil. Add diced chicken and seasoning blend to hot pan. Stir occasionally until chicken browns and reaches a minimum internal temperature of 165 degrees, 5-7 minutes. While chicken cooks, prepare ingredients.
2. Halve tomatoes. Peel and halve shallot. Slice thinly. 
3.Add shallot and tomatoes to hot pan and cook undisturbed, 2 minutes. Stir in 2 Tbsp. water and lemon juice. Then stir occasionally until tomatoes soften and release juices, 3-5 minutes. Remove from burner. While filling cooks, warm flatbreads.
4.Place another medium non-stick pan over medium-high heat. Add flatbreads to hot, dry pan, two at a time. Gently press down on flatbreads until golden brown and warmed through, 30-60 seconds per side. Remove from burner. Plate dish as pictured on front of card, filling flatbreads with filling and topping with spring mix and tzatziki dip. Bon appétit!"
10,20,Caprese Steak Strip Flatbreads with Mozzarella,caprese-steak-strip,15-min-lunch|italian,CapreseSteakStripMiniFlatbreadsWithMozzarella.jpg,"We've morphed salad into flatbreads, with mozzarella and pesto bringing a very caprese touch here. Now can we morph water into beer? Monday into Friday? Uhhhhh... just try the flatbread.","We've morphed salad into flatbreads, with mozzarella and pesto bringing a very caprese touch here. Now can we morph water into beer? Monday into Friday? Uhhhhh... just try the flatbread.",15,15,Easy,,"4 fl. oz. Marinara Sauce,
¼ tsp. Red Pepper Flakes,
4 Mini Naan Flatbreads,
10 oz. Steak Strips,
1 Tbsp. Basil Pesto1 Roma Tomato,
2 oz. Shredded Mozzarella","1\. Pat diced chicken dry, and season all over with a pinch of salt. Place a medium non-stick pan over medium-high heat and add 2 tsp. olive oil. Add diced chicken and seasoning blend to hot pan. Stir occasionally until chicken browns and reaches a minimum internal temperature of 165 degrees, 5-7 minutes. While chicken cooks, prepare ingredients.  
2\. Halve tomatoes. Peel and halve shallot. Slice thinly.  
3\.Add shallot and tomatoes to hot pan and cook undisturbed, 2 minutes. Stir in 2 Tbsp. water and lemon juice. Then stir occasionally until tomatoes soften and release juices, 3-5 minutes. Remove from burner. While filling cooks, warm flatbreads.  
4\.Place another medium non-stick pan over medium-high heat. Add flatbreads to hot, dry pan, two at a time. Gently press down on flatbreads until golden brown and warmed through, 30-60 seconds per side. Remove from burner. Plate dish as pictured on front of card, filling flatbreads with filling and topping with spring mix and tzatziki dip. Bon appétit!"
